"CustomerKey","Recency","Frequency","Monetary","R_Score","F_Score","M_Score","RFM_Score","CLV_TotalRevenue","FirstPurchase","LastPurchase","NumOrders","AvgOrderValue","LifespanDays","LifespanMonths","MonthlyValue","CLV_Quintile","CLV_Segment"
11083,50,2,3137.32,5,4,5,545,3137.32,2016-01-10,2016-11-11,2,1568.66,306,10.0525624178712,312.09157124183,5,"Top 20% (High CLV)"
11084,37,2,3078.61,5,4,5,545,3078.61,2016-01-08,2016-11-24,2,1539.305,321,10.5453350854139,291.940462305296,5,"Top 20% (High CLV)"
11085,23,1,74.98,5,1,2,512,74.98,2016-12-08,2016-12-08,1,74.98,0,0,74.98,2,"Lower-Mid"
11086,8,2,153.45,5,4,3,543,153.45,2016-07-03,2016-12-23,2,76.725,173,5.68331143232589,27.0001040462428,3,"Middle"
11087,143,2,200.28,3,4,3,343,200.28,2016-02-29,2016-08-10,2,100.14,163,5.35479632063075,37.4019828220859,3,"Middle"
11088,46,2,3176.78,5,4,5,545,3176.78,2016-01-17,2016-11-15,2,1588.39,303,9.95400788436268,319.145819141914,5,"Top 20% (High CLV)"
11089,40,2,3188.28,5,4,5,545,3188.28,2016-01-02,2016-11-21,2,1594.14,324,10.6438896189225,299.540874074074,5,"Top 20% (High CLV)"
11090,37,3,6704.08,5,5,5,555,6704.08,2014-08-07,2016-11-24,3,2234.69333333333,840,27.5952693823916,242.94308952381,5,"Top 20% (High CLV)"
11127,89,2,43.98,4,4,2,442,43.98,2016-04-12,2016-10-03,2,21.99,174,5.7161629434954,7.6939724137931,2,"Lower-Mid"
11128,140,2,143.94,3,4,3,343,143.94,2016-06-21,2016-08-13,2,71.97,53,1.74113009198423,82.6704452830189,3,"Middle"
11129,353,2,5873.26,1,4,5,145,5873.26,2014-08-06,2016-01-13,2,2936.63,525,17.2470433639947,340.537208380952,5,"Top 20% (High CLV)"
11130,20,1,37.29,5,1,2,512,37.29,2016-12-11,2016-12-11,1,37.29,0,0,37.29,2,"Lower-Mid"
11135,255,1,2334.97,2,1,4,214,2334.97,2016-04-20,2016-04-20,1,2334.97,0,0,2334.97,4,"Upper-Mid"
11137,152,1,196.29,3,1,3,313,196.29,2016-08-01,2016-08-01,1,196.29,0,0,196.29,3,"Middle"
11138,100,1,38.98,4,1,2,412,38.98,2016-09-22,2016-09-22,1,38.98,0,0,38.98,2,"Lower-Mid"
11140,286,1,39.99,1,1,2,112,39.99,2016-03-20,2016-03-20,1,39.99,0,0,39.99,2,"Lower-Mid"
11141,92,2,113.96,4,4,3,443,113.96,2016-05-17,2016-09-30,2,56.98,136,4.46780551905388,25.5069294117647,3,"Middle"
11143,10,2,48.56,5,4,2,542,48.56,2016-06-17,2016-12-21,2,24.28,187,6.14323258869908,7.90463315508021,2,"Lower-Mid"
11144,337,1,2399.97,1,1,4,114,2399.97,2016-01-29,2016-01-29,1,2399.97,0,0,2399.97,4,"Upper-Mid"
11145,337,1,2309.97,1,1,4,114,2309.97,2016-01-29,2016-01-29,1,2309.97,0,0,2309.97,4,"Upper-Mid"
11152,353,1,2294.99,1,1,4,114,2294.99,2016-01-13,2016-01-13,1,2294.99,0,0,2294.99,4,"Upper-Mid"
11153,276,2,109.77,1,4,3,143,109.77,2016-03-30,2016-03-30,2,54.885,0,0,109.77,3,"Middle"
11154,352,1,2319.99,1,1,4,114,2319.99,2016-01-14,2016-01-14,1,2319.99,0,0,2319.99,4,"Upper-Mid"
11155,356,1,2319.99,1,1,4,114,2319.99,2016-01-10,2016-01-10,1,2319.99,0,0,2319.99,4,"Upper-Mid"
11156,354,1,2389.97,1,1,4,114,2389.97,2016-01-12,2016-01-12,1,2389.97,0,0,2389.97,4,"Upper-Mid"
11157,108,2,41.28,4,4,2,442,41.28,2016-07-25,2016-09-14,2,20.64,51,1.6754270696452,24.6384941176471,2,"Lower-Mid"
11158,343,1,2395.96,1,1,4,114,2395.96,2016-01-23,2016-01-23,1,2395.96,0,0,2395.96,4,"Upper-Mid"
11159,51,2,48.56,5,4,2,542,48.56,2016-09-11,2016-11-10,2,24.28,60,1.97109067017083,24.6361066666667,2,"Lower-Mid"
11160,310,1,2322.28,1,1,4,114,2322.28,2016-02-25,2016-02-25,1,2322.28,0,0,2322.28,4,"Upper-Mid"
11161,47,2,93.95,5,4,3,543,93.95,2016-06-03,2016-11-14,2,46.975,164,5.38764783180026,17.4380365853659,3,"Middle"
11162,313,1,2329.98,1,1,4,114,2329.98,2016-02-22,2016-02-22,1,2329.98,0,0,2329.98,4,"Upper-Mid"
11163,147,2,46.27,3,4,2,342,46.27,2016-05-02,2016-08-06,2,23.135,96,3.15374507227332,14.6714458333333,2,"Lower-Mid"
11164,147,2,144.76,3,4,3,343,144.76,2016-04-29,2016-08-06,2,72.38,99,3.25229960578187,44.5100444444444,3,"Middle"
11165,207,2,102.49,2,4,3,243,102.49,2016-05-26,2016-06-07,2,51.245,12,0.394218134034166,259.982966666667,3,"Middle"
11166,23,2,87.96,5,4,3,543,87.96,2016-10-16,2016-12-08,2,43.98,53,1.74113009198423,50.5189132075472,3,"Middle"
11167,31,2,3126.33,5,4,5,545,3126.33,2016-01-11,2016-11-30,2,1563.165,324,10.6438896189225,293.720633333333,5,"Top 20% (High CLV)"
11168,42,2,3136.59,5,4,5,545,3136.59,2016-01-19,2016-11-19,2,1568.295,305,10.0197109067017,313.041965901639,5,"Top 20% (High CLV)"
11169,95,2,81.26,4,4,3,443,81.26,2016-05-27,2016-09-27,2,40.63,123,4.0407358738502,20.1101983739837,3,"Middle"
11170,126,1,59.27,3,1,2,312,59.27,2016-08-27,2016-08-27,1,59.27,0,0,59.27,2,"Lower-Mid"
11171,51,3,6716.55,5,5,5,555,6716.55,2014-08-20,2016-11-10,3,2238.85,813,26.7082785808147,251.478206642066,5,"Top 20% (High CLV)"
11172,241,1,38.98,2,1,2,212,38.98,2016-05-04,2016-05-04,1,38.98,0,0,38.98,2,"Lower-Mid"
11173,5,2,102.49,5,4,3,543,102.49,2016-03-03,2016-12-26,2,51.245,298,9.78975032851511,10.4691127516779,3,"Middle"
11174,158,2,48.56,3,4,2,342,48.56,2016-07-14,2016-07-26,2,24.28,12,0.394218134034166,123.180533333333,2,"Lower-Mid"
11175,55,3,6710.55,5,5,5,555,6710.55,2014-08-28,2016-11-06,3,2236.85,801,26.3140604467806,255.017655430712,5,"Top 20% (High CLV)"
11177,76,2,135.25,4,4,3,443,135.25,2016-03-30,2016-10-16,2,67.625,200,6.57030223390276,20.58505,3,"Middle"
11178,218,2,144.76,2,4,3,243,144.76,2016-02-25,2016-05-27,2,72.38,92,3.02233902759527,47.8966782608696,3,"Middle"
11179,293,1,61.97,1,1,2,112,61.97,2016-03-13,2016-03-13,1,61.97,0,0,61.97,2,"Lower-Mid"
11180,94,2,138.45,4,4,3,443,138.45,2016-03-18,2016-09-28,2,69.225,194,6.37319316688568,21.7238041237113,3,"Middle"
11181,172,2,41.28,3,4,2,342,41.28,2016-05-08,2016-07-12,2,20.64,65,2.1353482260184,19.3317415384615,2,"Lower-Mid"
11182,124,1,42.28,4,1,2,412,42.28,2016-08-29,2016-08-29,1,42.28,0,0,42.28,2,"Lower-Mid"
11183,199,2,46.27,2,4,2,242,46.27,2016-05-01,2016-06-15,2,23.135,45,1.47831800262812,31.2990844444444,2,"Lower-Mid"
11184,81,2,68.25,4,4,2,442,68.25,2016-08-11,2016-10-11,2,34.125,61,2.00394218134034,34.057868852459,2,"Lower-Mid"
11186,72,1,3.99,4,1,1,411,3.99,2016-10-20,2016-10-20,1,3.99,0,0,3.99,1,"Bottom 20% (Low CLV)"
11187,146,2,107.48,3,4,3,343,107.48,2016-04-05,2016-08-07,2,53.74,124,4.07358738501971,26.3846064516129,3,"Middle"
11188,57,1,74.98,4,1,2,412,74.98,2016-11-04,2016-11-04,1,74.98,0,0,74.98,2,"Lower-Mid"
11189,326,2,5944.22,1,4,5,145,5944.22,2014-08-26,2016-02-09,2,2972.11,532,17.4770039421813,340.116648120301,5,"Top 20% (High CLV)"
11190,124,1,6.28,4,1,1,411,6.28,2016-08-29,2016-08-29,1,6.28,0,0,6.28,1,"Bottom 20% (Low CLV)"
11191,52,3,6743.58,5,5,5,555,6743.58,2014-08-11,2016-11-09,3,2247.86,821,26.9710906701708,250.029933252132,5,"Top 20% (High CLV)"
11192,94,2,113.96,4,4,3,443,113.96,2016-06-25,2016-09-28,2,56.98,95,3.12089356110381,36.5151831578947,3,"Middle"
11193,134,2,41.28,3,4,2,342,41.28,2016-02-29,2016-08-19,2,20.64,172,5.65045992115637,7.3056,2,"Lower-Mid"
11194,21,2,105.75,5,4,3,543,105.75,2016-03-14,2016-12-10,2,52.875,271,8.90275952693824,11.8783394833948,3,"Middle"
11195,68,2,105.75,4,4,3,443,105.75,2016-04-16,2016-10-24,2,52.875,191,6.27463863337714,16.8535602094241,3,"Middle"
11196,95,2,162.28,4,4,3,443,162.28,2016-03-04,2016-09-27,2,81.14,207,6.80026281208936,23.8637835748792,3,"Middle"
11197,163,2,207.56,3,4,3,343,207.56,2016-05-03,2016-07-21,2,103.78,79,2.59526938239159,79.9762835443038,3,"Middle"
11198,318,2,98.47,1,4,3,143,98.47,2016-02-09,2016-02-17,2,49.235,8,0.26281208935611,374.67835,3,"Middle"
11199,73,2,131.75,4,4,3,443,131.75,2016-03-19,2016-10-19,2,65.875,214,7.03022339027595,18.7405140186916,3,"Middle"
11201,110,2,180.94,4,4,3,443,180.94,2016-07-02,2016-09-12,2,90.47,72,2.36530880420499,76.4974111111111,3,"Middle"
11202,98,2,73.98,4,4,2,442,73.98,2016-09-18,2016-09-24,2,36.99,6,0.197109067017083,375.3252,2,"Lower-Mid"
11204,48,2,77.27,5,4,2,542,77.27,2016-08-10,2016-11-13,2,38.635,95,3.12089356110381,24.7589347368421,2,"Lower-Mid"
11205,82,2,37.29,4,4,2,442,37.29,2016-07-28,2016-10-10,2,18.645,74,2.43101182654402,15.3392918918919,2,"Lower-Mid"
11206,213,2,77.27,2,4,2,242,77.27,2016-05-12,2016-06-01,2,38.635,20,0.657030223390276,117.60494,2,"Lower-Mid"
11207,72,2,77.27,4,4,2,442,77.27,2016-02-04,2016-10-20,2,38.635,259,8.50854139290407,9.08146254826255,2,"Lower-Mid"
11208,102,2,134.23,4,4,3,443,134.23,2016-03-05,2016-09-20,2,67.115,199,6.53745072273325,20.5324683417085,3,"Middle"
11209,280,1,2.29,1,1,1,111,2.29,2016-03-26,2016-03-26,1,2.29,0,0,2.29,1,"Bottom 20% (Low CLV)"
11210,113,2,70.76,4,4,2,442,70.76,2016-05-07,2016-09-09,2,35.38,125,4.10643889618922,17.2314752,2,"Lower-Mid"
11213,110,2,77.27,4,4,2,442,77.27,2016-03-29,2016-09-12,2,38.635,167,5.4862023653088,14.0844239520958,2,"Lower-Mid"
11214,39,2,162.28,5,4,3,543,162.28,2016-08-15,2016-11-22,2,81.14,99,3.25229960578187,49.897002020202,3,"Middle"
11216,326,2,5948.24,1,4,5,145,5948.24,2014-08-15,2016-02-09,2,2974.12,543,17.838370565046,333.451980847145,5,"Top 20% (High CLV)"
11217,317,2,5953.25,1,4,5,145,5953.25,2014-08-10,2016-02-18,2,2976.625,557,18.2982917214192,325.344578096948,5,"Top 20% (High CLV)"
11218,305,1,2.29,1,1,1,111,2.29,2016-03-01,2016-03-01,1,2.29,0,0,2.29,1,"Bottom 20% (Low CLV)"
11219,60,1,37.29,4,1,2,412,37.29,2016-11-01,2016-11-01,1,37.29,0,0,37.29,2,"Lower-Mid"
11220,16,2,50.23,5,4,2,542,50.23,2016-03-15,2016-12-15,2,25.115,275,9.03416557161629,5.56000436363636,2,"Lower-Mid"
11221,73,2,46.27,4,4,2,442,46.27,2016-04-09,2016-10-19,2,23.135,193,6.34034165571616,7.29771398963731,2,"Lower-Mid"
11222,31,2,207.96,5,4,3,543,207.96,2016-11-04,2016-11-30,2,103.98,26,0.854139290407359,243.473169230769,3,"Middle"
11224,26,3,6685.59,5,5,5,555,6685.59,2014-08-07,2016-12-05,3,2228.53,851,27.9566360052562,239.141433137485,5,"Top 20% (High CLV)"
11225,113,2,73.25,4,4,2,442,73.25,2016-06-24,2016-09-09,2,36.625,77,2.52956636005256,28.9575324675325,2,"Lower-Mid"
11226,273,2,37.29,1,4,2,142,37.29,2016-02-25,2016-04-02,2,18.645,37,1.21550591327201,30.6785837837838,2,"Lower-Mid"
11227,321,2,5910.22,1,4,5,145,5910.22,2014-08-03,2016-02-14,2,2955.11,560,18.3968462549277,321.262672857143,5,"Top 20% (High CLV)"
11228,65,1,2.29,4,1,1,411,2.29,2016-10-27,2016-10-27,1,2.29,0,0,2.29,1,"Bottom 20% (Low CLV)"
11229,156,1,42.28,3,1,2,312,42.28,2016-07-28,2016-07-28,1,42.28,0,0,42.28,2,"Lower-Mid"
11230,20,2,54.22,5,4,2,542,54.22,2016-07-17,2016-12-11,2,27.11,147,4.82917214191853,11.2275972789116,2,"Lower-Mid"
11231,46,2,64.26,5,4,2,542,64.26,2016-02-14,2016-11-15,2,32.13,275,9.03416557161629,7.11299781818182,2,"Lower-Mid"
11232,45,2,39.58,5,4,2,542,39.58,2016-09-23,2016-11-16,2,19.79,54,1.77398160315374,22.3113925925926,2,"Lower-Mid"
11233,204,2,179.43,2,4,3,243,179.43,2016-02-12,2016-06-10,2,89.715,119,3.90932982917214,45.8978924369748,3,"Middle"
11234,100,2,76.27,4,4,2,442,76.27,2016-02-12,2016-09-22,2,38.135,223,7.32588699080158,10.4110260089686,2,"Lower-Mid"
11235,179,1,74.98,3,1,2,312,74.98,2016-07-05,2016-07-05,1,74.98,0,0,74.98,2,"Lower-Mid"
11236,87,1,74.98,4,1,2,412,74.98,2016-10-05,2016-10-05,1,74.98,0,0,74.98,2,"Lower-Mid"
11252,11,3,6685.56,5,5,5,555,6685.56,2014-08-14,2016-12-20,3,2228.52,859,28.2194480946123,236.913208847497,5,"Top 20% (High CLV)"
11254,15,2,203.92,5,4,3,543,203.92,2016-11-26,2016-12-16,2,101.96,20,0.657030223390276,310.36624,3,"Middle"
11255,273,2,113.96,1,4,3,143,113.96,2016-02-27,2016-04-02,2,56.98,35,1.14980289093298,99.11264,3,"Middle"
11256,74,2,81.26,4,4,3,443,81.26,2016-04-17,2016-10-18,2,40.63,184,6.04467805519054,13.4432304347826,3,"Middle"
11257,15,3,6677.38,5,5,5,555,6677.38,2014-08-24,2016-12-16,3,2225.79333333333,845,27.7595269382392,240.543724497041,5,"Top 20% (High CLV)"
11258,168,2,49.23,3,4,2,342,49.23,2016-05-22,2016-07-16,2,24.615,55,1.80683311432326,27.2465672727273,2,"Lower-Mid"
11259,9,3,6770.6,5,5,5,555,6770.6,2014-09-07,2016-12-22,3,2256.86666666667,837,27.496714848883,246.233051373955,5,"Top 20% (High CLV)"
11260,189,2,81.26,3,4,3,343,81.26,2016-02-09,2016-06-25,2,40.63,137,4.50065703022339,18.0551416058394,3,"Middle"
11261,6,3,6650.6,5,5,5,555,6650.6,2014-09-30,2016-12-25,3,2216.86666666667,817,26.8396846254928,247.789796817625,5,"Top 20% (High CLV)"
11263,19,3,6754.06,5,5,5,555,6754.06,2014-09-01,2016-12-12,3,2251.35333333333,833,27.365308804205,246.811028091236,5,"Top 20% (High CLV)"
11264,29,2,3182.27,5,4,5,545,3182.27,2016-01-06,2016-12-02,2,1591.135,331,10.8738501971091,292.653470694864,5,"Top 20% (High CLV)"
11265,359,1,2351.96,1,1,4,114,2351.96,2016-01-07,2016-01-07,1,2351.96,0,0,2351.96,4,"Upper-Mid"
11266,342,2,5922.23,1,4,5,145,5922.23,2014-09-13,2016-01-24,2,2961.115,498,16.3600525624179,361.993335742972,5,"Top 20% (High CLV)"
11267,355,2,5943.23,1,4,5,145,5943.23,2014-09-20,2016-01-11,2,2971.615,478,15.7030223390276,378.476822594142,5,"Top 20% (High CLV)"
11268,42,2,98.25,5,4,3,543,98.25,2016-05-30,2016-11-19,2,49.125,173,5.68331143232589,17.2874566473988,3,"Middle"
11269,109,2,42.28,4,4,2,442,42.28,2016-08-23,2016-09-13,2,21.14,21,0.68988173455979,61.2858666666667,2,"Lower-Mid"
11270,355,2,5984.22,1,4,5,145,5984.22,2014-09-13,2016-01-11,2,2992.11,485,15.9329829172142,375.586921237113,5,"Top 20% (High CLV)"
11271,340,2,5973.24,1,4,5,145,5973.24,2014-09-30,2016-01-26,2,2986.62,483,15.8672798948752,376.450156521739,5,"Top 20% (High CLV)"
11272,349,2,5975.23,1,4,5,145,5975.23,2014-09-22,2016-01-17,2,2987.615,482,15.8344283837056,377.356848962656,5,"Top 20% (High CLV)"
11273,221,2,273.23,2,4,3,243,273.23,2016-05-15,2016-05-24,2,136.615,9,0.295663600525624,924.124577777778,3,"Middle"
11274,307,2,5888.24,1,4,5,145,5888.24,2014-09-01,2016-02-28,2,2944.12,545,17.904073587385,328.877111192661,5,"Top 20% (High CLV)"
11275,350,2,5955.23,1,4,5,145,5955.23,2014-09-02,2016-01-16,2,2977.615,501,16.4586070959264,361.830740918164,5,"Top 20% (High CLV)"
11278,359,2,5908.25,1,4,5,145,5908.25,2014-09-19,2016-01-07,2,2954.125,475,15.6044678055191,378.625536842105,5,"Top 20% (High CLV)"
11279,190,2,44.57,3,4,2,342,44.57,2016-03-04,2016-06-24,2,22.285,112,3.67936925098555,12.1134892857143,2,"Lower-Mid"
11280,144,2,77.27,3,4,2,342,77.27,2016-07-02,2016-08-09,2,38.635,38,1.24835742444152,61.8973368421053,2,"Lower-Mid"
11281,351,2,5921.19,1,4,5,145,5921.19,2014-09-16,2016-01-15,2,2960.595,486,15.9658344283837,370.866303703704,5,"Top 20% (High CLV)"
11282,360,2,5998.73,1,4,5,145,5998.73,2014-09-03,2016-01-06,2,2999.365,490,16.0972404730618,372.655798367347,5,"Top 20% (High CLV)"
11283,124,2,44.57,4,4,2,442,44.57,2016-05-30,2016-08-29,2,22.285,91,2.98948751642576,14.9089098901099,2,"Lower-Mid"
11284,242,2,55.48,2,4,2,242,55.48,2016-02-10,2016-05-03,2,27.74,83,2.72667542706965,20.3471228915663,2,"Lower-Mid"
11285,64,2,127.76,4,4,3,443,127.76,2016-07-28,2016-10-28,2,63.88,92,3.02233902759527,42.2718956521739,3,"Middle"
11286,342,2,5954.22,1,4,5,145,5954.22,2014-09-24,2016-01-24,2,2977.11,487,15.9986859395532,372.169315811088,5,"Top 20% (High CLV)"
11288,131,2,77.27,3,4,2,342,77.27,2016-03-06,2016-08-22,2,38.635,169,5.55190538764783,13.9177443786982,2,"Lower-Mid"
11289,346,2,5905.48,1,4,5,145,5905.48,2014-09-11,2016-01-20,2,2952.74,496,16.2943495400788,362.425022580645,5,"Top 20% (High CLV)"
11290,335,2,5933.25,1,4,5,145,5933.25,2014-09-23,2016-01-31,2,2966.625,495,16.2614980289093,364.864909090909,5,"Top 20% (High CLV)"
11291,343,2,5873.26,1,4,5,145,5873.26,2014-09-07,2016-01-23,2,2936.63,503,16.5243101182654,355.431479920477,5,"Top 20% (High CLV)"
11292,362,2,5910.22,1,4,5,145,5910.22,2014-09-18,2016-01-04,2,2955.11,473,15.53876478318,380.353270190275,5,"Top 20% (High CLV)"
11293,290,2,85.22,1,4,3,143,85.22,2016-02-28,2016-03-16,2,42.61,17,0.558475689881735,152.593929411765,3,"Middle"
11294,94,1,2.29,4,1,1,411,2.29,2016-09-28,2016-09-28,1,2.29,0,0,2.29,1,"Bottom 20% (Low CLV)"
11295,353,2,6058.25,1,4,5,145,6058.25,2014-09-28,2016-01-13,2,3029.125,472,15.5059132720105,390.705783898305,5,"Top 20% (High CLV)"
11296,333,2,5897.53,1,4,5,145,5897.53,2014-09-04,2016-02-02,2,2948.765,516,16.9513797634691,347.908552713178,5,"Top 20% (High CLV)"
11297,311,2,5948.24,1,4,5,145,5948.24,2014-09-29,2016-02-24,2,2974.12,513,16.8528252299606,352.95209668616,5,"Top 20% (High CLV)"
11298,310,2,5922.23,1,4,5,145,5922.23,2014-09-15,2016-02-25,2,2961.115,528,17.3455978975033,341.425532575758,5,"Top 20% (High CLV)"
11299,307,2,6015.24,1,4,5,145,6015.24,2014-09-29,2016-02-28,2,3007.62,517,16.9842312746386,354.166161702128,5,"Top 20% (High CLV)"
11301,79,2,131.26,4,4,3,443,131.26,2016-06-11,2016-10-13,2,65.63,124,4.07358738501971,32.2222129032258,3,"Middle"
11302,329,2,5938.19,1,4,5,145,5938.19,2014-09-09,2016-02-06,2,2969.095,515,16.9185282522996,350.987385631068,5,"Top 20% (High CLV)"
11303,308,2,5875.55,1,4,5,145,5875.55,2014-09-05,2016-02-27,2,2937.775,540,17.7398160315375,331.20692962963,5,"Top 20% (High CLV)"
11304,251,2,122.21,2,4,3,243,122.21,2016-03-21,2016-04-24,2,61.105,34,1.11695137976347,109.413894117647,3,"Middle"
11305,148,2,77.27,3,4,2,342,77.27,2016-03-26,2016-08-05,2,38.635,132,4.33639947437582,17.8189303030303,2,"Lower-Mid"
11306,112,2,42.28,4,4,2,442,42.28,2016-07-01,2016-09-10,2,21.14,71,2.33245729303548,18.1268056338028,2,"Lower-Mid"
11307,323,2,5964.22,1,4,5,145,5964.22,2014-09-07,2016-02-12,2,2982.11,523,17.1813403416557,347.133569407266,5,"Top 20% (High CLV)"
11308,112,1,91.97,4,1,3,413,91.97,2016-09-10,2016-09-10,1,91.97,0,0,91.97,3,"Middle"
11309,174,1,39.99,3,1,2,312,39.99,2016-07-10,2016-07-10,1,39.99,0,0,39.99,2,"Lower-Mid"
11310,5,2,77.27,5,4,2,542,77.27,2016-08-13,2016-12-26,2,38.635,135,4.43495400788436,17.4229540740741,2,"Lower-Mid"
11311,106,2,77.27,4,4,2,442,77.27,2016-04-20,2016-09-16,2,38.635,149,4.89487516425756,15.7858979865772,2,"Lower-Mid"
11312,210,2,42.28,2,4,2,242,42.28,2016-05-18,2016-06-04,2,21.14,17,0.558475689881735,75.7060705882353,2,"Lower-Mid"
11313,32,2,44.57,5,4,2,542,44.57,2016-05-08,2016-11-29,2,22.285,205,6.73455978975033,6.61810146341463,2,"Lower-Mid"
11314,26,2,47.53,5,4,2,542,47.53,2016-02-29,2016-12-05,2,23.765,280,9.19842312746386,5.16719,2,"Lower-Mid"
11315,12,2,42.28,5,4,2,542,42.28,2016-05-21,2016-12-19,2,21.14,212,6.96452036793692,6.07076981132075,2,"Lower-Mid"
11317,313,2,5873.26,1,4,5,145,5873.26,2014-09-04,2016-02-22,2,2936.63,536,17.6084099868594,333.548571641791,5,"Top 20% (High CLV)"
11318,50,2,44.57,5,4,2,542,44.57,2016-10-19,2016-11-11,2,22.285,23,0.755584756898817,58.9874260869565,2,"Lower-Mid"
11319,307,2,5930.23,1,4,5,145,5930.23,2014-09-12,2016-02-28,2,2965.115,534,17.5427069645204,338.045320599251,5,"Top 20% (High CLV)"
11320,133,2,72.21,3,4,2,342,72.21,2016-06-17,2016-08-20,2,36.105,64,2.10249671484888,34.34488125,2,"Lower-Mid"
11321,216,2,37.29,2,4,2,242,37.29,2016-02-27,2016-05-29,2,18.645,92,3.02233902759527,12.3381260869565,2,"Lower-Mid"
11322,223,2,44.57,2,4,2,242,44.57,2016-03-25,2016-05-22,2,22.285,58,1.9053876478318,23.3915655172414,2,"Lower-Mid"
11323,332,2,6074.54,1,4,5,145,6074.54,2014-09-13,2016-02-03,2,3037.27,508,16.688567674113,363.99408976378,5,"Top 20% (High CLV)"
11324,326,2,5945.23,1,4,5,145,5945.23,2014-09-29,2016-02-09,2,2972.615,498,16.3600525624179,363.399199196787,5,"Top 20% (High CLV)"
11325,331,2,6044.2,1,4,5,145,6044.2,2014-09-22,2016-02-04,2,3022.1,500,16.4257555847569,367.970896,5,"Top 20% (High CLV)"
11326,311,2,5948.24,1,4,5,145,5948.24,2014-09-18,2016-02-24,2,2974.12,524,17.2141918528252,345.542796946565,5,"Top 20% (High CLV)"
11327,330,2,5915.54,1,4,5,145,5915.54,2014-09-29,2016-02-05,2,2957.77,494,16.2286465177398,364.512221862348,5,"Top 20% (High CLV)"
11329,321,2,5898.26,1,4,5,145,5898.26,2014-09-28,2016-02-14,2,2949.13,504,16.557161629435,356.236179365079,5,"Top 20% (High CLV)"
